Cast Vote Record,Precinct,Ballot Style,"AUTHORIZING THE TOWN OF SCITUATE TO ISSUE GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,700,000 TO FINANCE A NEW POLICE STATION"
1300,Precinct 3002,Precinct 3002,Approve
1301,Precinct 3002,Precinct 3002,Approve
1302,Precinct 3002,Precinct 3002,Reject
1303,Precinct 3002,Precinct 3002,Approve
1304,Precinct 3002,Precinct 3002,Reject
1305,Precinct 3002,Precinct 3002,Approve
1306,Precinct 3002,Precinct 3002,Reject
1307,Precinct 3002,Precinct 3002,Approve
1308,Precinct 3002,Precinct 3002,Reject
1309,Precinct 3002,Precinct 3002,Reject
1310,Precinct 3002,Precinct 3002,Reject
1311,Precinct 3002,Precinct 3002,Approve
1312,Precinct 3002,Precinct 3002,Reject
1313,Precinct 3002,Precinct 3002,Reject
1314,Precinct 3002,Precinct 3002,Approve
1315,Precinct 3002,Precinct 3002,Reject
1316,Precinct 3002,Precinct 3002,Reject
1317,Precinct 3002,Precinct 3002,Approve
1318,Precinct 3002,Precinct 3002,Reject
1319,Precinct 3002,Precinct 3002,Reject
1320,Precinct 3002,Precinct 3002,Reject
1321,Precinct 3002,Precinct 3002,Approve
1322,Precinct 3002,Precinct 3002,Approve
1323,Precinct 3002,Precinct 3002,Approve
1324,Precinct 3002,Precinct 3002,Reject
1325,Precinct 3002,Precinct 3002,Approve
1326,Precinct 3002,Precinct 3002,Reject
1327,Precinct 3002,Precinct 3002,Approve
1328,Precinct 3002,Precinct 3002,Approve
1329,Precinct 3002,Precinct 3002,Approve
1330,Precinct 3002,Precinct 3002,Reject
1331,Precinct 3002,Precinct 3002,Approve
1332,Precinct 3002,Precinct 3002,Approve
1333,Precinct 3002,Precinct 3002,Approve
1334,Precinct 3002,Precinct 3002,Reject
1335,Precinct 3002,Precinct 3002,Reject
1336,Precinct 3002,Precinct 3002,Reject
1337,Precinct 3002,Precinct 3002,Reject
1338,Precinct 3002,Precinct 3002,Approve
1339,Precinct 3002,Precinct 3002,Approve
1340,Precinct 3002,Precinct 3002,Approve
1341,Precinct 3002,Precinct 3002,Reject
1342,Precinct 3002,Precinct 3002,Approve
1343,Precinct 3002,Precinct 3002,Reject
1344,Precinct 3002,Precinct 3002,Reject
1345,Precinct 3002,Precinct 3002,Reject
1346,Precinct 3002,Precinct 3002,Approve
1347,Precinct 3002,Precinct 3002,Approve
1348,Precinct 3002,Precinct 3002,Approve
1349,Precinct 3002,Precinct 3002,Approve
1350,Precinct 3002,Precinct 3002,Approve
1351,Precinct 3002,Precinct 3002,Reject
1352,Precinct 3002,Precinct 3002,Approve
1353,Precinct 3002,Precinct 3002,Reject
1354,Precinct 3002,Precinct 3002,Approve
1355,Precinct 3002,Precinct 3002,Approve
1356,Precinct 3002,Precinct 3002,Reject
1357,Precinct 3002,Precinct 3002,Approve
1358,Precinct 3002,Precinct 3002,Approve
1359,Precinct 3002,Precinct 3002,Approve
1360,Precinct 3002,Precinct 3002,Approve
1361,Precinct 3002,Precinct 3002,Reject
1362,Precinct 3002,Precinct 3002,Reject
1363,Precinct 3002,Precinct 3002,Approve
1364,Precinct 3002,Precinct 3002,Reject
1365,Precinct 3002,Precinct 3002,Reject
1366,Precinct 3002,Precinct 3002,Approve
1367,Precinct 3002,Precinct 3002,Reject
1368,Precinct 3002,Precinct 3002,Approve
1369,Precinct 3002,Precinct 3002,Approve
1370,Precinct 3002,Precinct 3002,Reject
1371,Precinct 3002,Precinct 3002,Approve
1372,Precinct 3002,Precinct 3002,Approve
1373,Precinct 3002,Precinct 3002,Approve
1374,Precinct 3002,Precinct 3002,Reject
1375,Precinct 3002,Precinct 3002,Approve
1376,Precinct 3002,Precinct 3002,Reject
1377,Precinct 3002,Precinct 3002,Approve
1378,Precinct 3002,Precinct 3002,Reject
1379,Precinct 3002,Precinct 3002,Approve
1380,Precinct 3002,Precinct 3002,Reject
1381,Precinct 3002,Precinct 3002,Reject
1382,Precinct 3002,Precinct 3002,Approve
1383,Precinct 3002,Precinct 3002,Approve
1384,Precinct 3002,Precinct 3002,Reject
1385,Precinct 3002,Precinct 3002,Reject
1386,Precinct 3002,Precinct 3002,Approve
1387,Precinct 3002,Precinct 3002,Reject
1388,Precinct 3002,Precinct 3002,Approve
1389,Precinct 3002,Precinct 3002,Reject
1390,Precinct 3002,Precinct 3002,Approve
1391,Precinct 3002,Precinct 3002,Approve
1392,Precinct 3002,Precinct 3002,Reject
1393,Precinct 3002,Precinct 3002,Approve
1394,Precinct 3002,Precinct 3002,Reject
1395,Precinct 3002,Precinct 3002,Approve
1396,Precinct 3002,Precinct 3002,Approve
1397,Precinct 3002,Precinct 3002,Approve
1398,Precinct 3002,Precinct 3002,Approve
1399,Precinct 3002,Precinct 3002,Approve
1400,Precinct 3002,Precinct 3002,Approve
1401,Precinct 3002,Precinct 3002,Approve
1402,Precinct 3002,Precinct 3002,Reject
1403,Precinct 3002,Precinct 3002,Approve
1404,Precinct 3002,Precinct 3002,Approve
1405,Precinct 3002,Precinct 3002,Approve
1406,Precinct 3002,Precinct 3002,Reject
1407,Precinct 3002,Precinct 3002,Approve
1408,Precinct 3002,Precinct 3002,Approve
1409,Precinct 3002,Precinct 3002,Reject
1410,Precinct 3002,Precinct 3002,Approve
1411,Precinct 3002,Precinct 3002,Reject
1412,Precinct 3002,Precinct 3002,Reject
1413,Precinct 3002,Precinct 3002,Approve
1414,Precinct 3002,Precinct 3002,Approve
1415,Precinct 3002,Precinct 3002,Reject
1416,Precinct 3002,Precinct 3002,Approve
1417,Precinct 3002,Precinct 3002,Approve
1418,Precinct 3002,Precinct 3002,Reject
1419,Precinct 3002,Precinct 3002,Approve
1420,Precinct 3002,Precinct 3002,Reject
1421,Precinct 3002,Precinct 3002,Approve
1422,Precinct 3002,Precinct 3002,Reject
1423,Precinct 3002,Precinct 3002,Reject
1424,Precinct 3002,Precinct 3002,Approve
1425,Precinct 3002,Precinct 3002,Reject
1426,Precinct 3002,Precinct 3002,Approve
1427,Precinct 3002,Precinct 3002,Reject
1428,Precinct 3002,Precinct 3002,Approve
1429,Precinct 3002,Precinct 3002,Approve
1430,Precinct 3002,Precinct 3002,Approve
1431,Precinct 3002,Precinct 3002,Reject
1432,Precinct 3002,Precinct 3002,Reject
1433,Precinct 3002,Precinct 3002,Approve
1434,Precinct 3002,Precinct 3002,Reject
1435,Precinct 3002,Precinct 3002,Reject
1436,Precinct 3002,Precinct 3002,Approve
1437,Precinct 3002,Precinct 3002,Approve
1438,Precinct 3002,Precinct 3002,Approve
1439,Precinct 3002,Precinct 3002,Approve
1440,Precinct 3002,Precinct 3002,Reject
1441,Precinct 3002,Precinct 3002,Approve
1442,Precinct 3002,Precinct 3002,Approve
1443,Precinct 3002,Precinct 3002,Approve
1444,Precinct 3002,Precinct 3002,Reject
1445,Precinct 3002,Precinct 3002,Reject
1446,Precinct 3002,Precinct 3002,Reject
1447,Precinct 3002,Precinct 3002,Reject
1448,Precinct 3002,Precinct 3002,Approve
1449,Precinct 3002,Precinct 3002,Approve
1450,Precinct 3002,Precinct 3002,Reject
1451,Precinct 3002,Precinct 3002,Reject
1452,Precinct 3002,Precinct 3002,Reject
1453,Precinct 3002,Precinct 3002,Approve
1454,Precinct 3002,Precinct 3002,Approve
1455,Precinct 3002,Precinct 3002,Approve
1456,Precinct 3002,Precinct 3002,Reject
1457,Precinct 3002,Precinct 3002,Reject
1458,Precinct 3002,Precinct 3002,Approve
1459,Precinct 3002,Precinct 3002,Approve
1460,Precinct 3002,Precinct 3002,Approve
1461,Precinct 3002,Precinct 3002,Approve
1462,Precinct 3002,Precinct 3002,Approve
1463,Precinct 3002,Precinct 3002,Reject
1464,Precinct 3002,Precinct 3002,Reject
1465,Precinct 3002,Precinct 3002,Reject
1466,Precinct 3002,Precinct 3002,Approve
1467,Precinct 3002,Precinct 3002,Reject
1468,Precinct 3002,Precinct 3002,Approve
1469,Precinct 3002,Precinct 3002,Approve
1470,Precinct 3002,Precinct 3002,Reject
1471,Precinct 3002,Precinct 3002,Reject
1472,Precinct 3002,Precinct 3002,Approve
1473,Precinct 3002,Precinct 3002,Reject
1474,Precinct 3002,Precinct 3002,Approve
1475,Precinct 3002,Precinct 3002,Approve
1476,Precinct 3002,Precinct 3002,Approve
1477,Precinct 3002,Precinct 3002,Reject
1478,Precinct 3002,Precinct 3002,Approve
1479,Precinct 3002,Precinct 3002,Approve
1480,Precinct 3002,Precinct 3002,Reject
1481,Precinct 3002,Precinct 3002,Reject
1482,Precinct 3002,Precinct 3002,Reject
1483,Precinct 3002,Precinct 3002,Reject
1484,Precinct 3002,Precinct 3002,Approve
1485,Precinct 3002,Precinct 3002,Approve
1486,Precinct 3002,Precinct 3002,Approve
1487,Precinct 3002,Precinct 3002,Approve
1488,Precinct 3002,Precinct 3002,Reject
1489,Precinct 3002,Precinct 3002,Approve
1490,Precinct 3002,Precinct 3002,Reject
1491,Precinct 3002,Precinct 3002,Approve
1492,Precinct 3002,Precinct 3002,Approve
1493,Precinct 3002,Precinct 3002,Approve
1494,Precinct 3002,Precinct 3002,Approve
1495,Precinct 3002,Precinct 3002,Approve
1496,Precinct 3002,Precinct 3002,Approve
1497,Precinct 3002,Precinct 3002,Reject
1498,Precinct 3002,Precinct 3002,Reject
1499,Precinct 3002,Precinct 3002,Approve
1500,Precinct 3002,Precinct 3002,Reject
1501,Precinct 3002,Precinct 3002,Reject
1502,Precinct 3002,Precinct 3002,Reject
1503,Precinct 3002,Precinct 3002,Reject
1504,Precinct 3002,Precinct 3002,Approve
1505,Precinct 3002,Precinct 3002,Reject
1506,Precinct 3002,Precinct 3002,Approve
1507,Precinct 3002,Precinct 3002,Approve
1508,Precinct 3002,Precinct 3002,Approve
1509,Precinct 3002,Precinct 3002,Approve
1510,Precinct 3002,Precinct 3002,Reject
1511,Precinct 3002,Precinct 3002,Approve
1512,Precinct 3002,Precinct 3002,Approve
1513,Precinct 3002,Precinct 3002,Approve
1514,Precinct 3002,Precinct 3002,Approve
1515,Precinct 3002,Precinct 3002,Reject
1516,Precinct 3002,Precinct 3002,Approve
1517,Precinct 3002,Precinct 3002,Reject
1518,Precinct 3002,Precinct 3002,Reject
1519,Precinct 3002,Precinct 3002,Reject
1520,Precinct 3002,Precinct 3002,Reject
1521,Precinct 3002,Precinct 3002,Approve
1522,Precinct 3002,Precinct 3002,Approve
1523,Precinct 3002,Precinct 3002,Approve
1524,Precinct 3002,Precinct 3002,Approve
1525,Precinct 3002,Precinct 3002,Approve
1526,Precinct 3002,Precinct 3002,Approve
1527,Precinct 3002,Precinct 3002,Approve
1528,Precinct 3002,Precinct 3002,Approve
1529,Precinct 3002,Precinct 3002,Reject
1530,Precinct 3002,Precinct 3002,Approve
1531,Precinct 3002,Precinct 3002,Reject
1532,Precinct 3002,Precinct 3002,Approve
1533,Precinct 3002,Precinct 3002,Reject
1534,Precinct 3002,Precinct 3002,Approve
1535,Precinct 3002,Precinct 3002,Approve
1536,Precinct 3002,Precinct 3002,Reject
1537,Precinct 3002,Precinct 3002,Approve
1538,Precinct 3002,Precinct 3002,Reject
1539,Precinct 3002,Precinct 3002,Approve
1540,Precinct 3002,Precinct 3002,Approve
1541,Precinct 3002,Precinct 3002,Reject
1542,Precinct 3002,Precinct 3002,Approve
1543,Precinct 3002,Precinct 3002,Approve
1544,Precinct 3002,Precinct 3002,Approve
1545,Precinct 3002,Precinct 3002,Reject
1546,Precinct 3002,Precinct 3002,Reject
1547,Precinct 3002,Precinct 3002,Approve
1548,Precinct 3002,Precinct 3002,Approve
1549,Precinct 3002,Precinct 3002,Approve
1550,Precinct 3002,Precinct 3002,Reject
1551,Precinct 3002,Precinct 3002,Approve
1552,Precinct 3002,Precinct 3002,Approve
1553,Precinct 3002,Precinct 3002,Approve
1554,Precinct 3002,Precinct 3002,Reject
1555,Precinct 3002,Precinct 3002,Approve
1556,Precinct 3002,Precinct 3002,Reject
1557,Precinct 3002,Precinct 3002,Approve
1558,Precinct 3002,Precinct 3002,Reject
1559,Precinct 3002,Precinct 3002,Approve
1560,Precinct 3002,Precinct 3002,Reject
1561,Precinct 3002,Precinct 3002,Reject
1562,Precinct 3002,Precinct 3002,Reject
1563,Precinct 3002,Precinct 3002,Approve
1564,Precinct 3002,Precinct 3002,Approve
1565,Precinct 3002,Precinct 3002,Approve
1566,Precinct 3002,Precinct 3002,Approve
1567,Precinct 3002,Precinct 3002,Reject
1568,Precinct 3002,Precinct 3002,Approve
1569,Precinct 3002,Precinct 3002,Reject
1570,Precinct 3002,Precinct 3002,Approve
1571,Precinct 3002,Precinct 3002,Approve
1572,Precinct 3002,Precinct 3002,Reject
1573,Precinct 3002,Precinct 3002,Reject
1574,Precinct 3002,Precinct 3002,Approve
1575,Precinct 3002,Precinct 3002,Approve
1576,Precinct 3002,Precinct 3002,Approve
1577,Precinct 3002,Precinct 3002,Approve
1578,Precinct 3002,Precinct 3002,Approve
1579,Precinct 3002,Precinct 3002,Approve
1580,Precinct 3002,Precinct 3002,Approve
1581,Precinct 3002,Precinct 3002,Approve
1582,Precinct 3002,Precinct 3002,Approve
1583,Precinct 3002,Precinct 3002,Reject
1584,Precinct 3002,Precinct 3002,Reject
1585,Precinct 3002,Precinct 3002,Approve
1586,Precinct 3002,Precinct 3002,Approve
1587,Precinct 3002,Precinct 3002,Reject
1588,Precinct 3002,Precinct 3002,Approve
1589,Precinct 3002,Precinct 3002,Approve
1590,Precinct 3002,Precinct 3002,Approve
1591,Precinct 3002,Precinct 3002,Reject
1592,Precinct 3002,Precinct 3002,Reject
1593,Precinct 3002,Precinct 3002,Approve
1594,Precinct 3002,Precinct 3002,Approve
1595,Precinct 3002,Precinct 3002,Approve
1596,Precinct 3002,Precinct 3002,Approve
1597,Precinct 3002,Precinct 3002,Approve
1598,Precinct 3002,Precinct 3002,Reject
1599,Precinct 3002,Precinct 3002,Approve
1600,Precinct 3002,Precinct 3002,Approve
1601,Precinct 3002,Precinct 3002,Approve
1602,Precinct 3002,Precinct 3002,Approve
1603,Precinct 3002,Precinct 3002,Approve
1604,Precinct 3002,Precinct 3002,Approve
1605,Precinct 3002,Precinct 3002,Approve
1606,Precinct 3002,Precinct 3002,Approve
1607,Precinct 3002,Precinct 3002,Approve
1608,Precinct 3002,Precinct 3002,Reject
1609,Precinct 3002,Precinct 3002,Approve
1610,Precinct 3002,Precinct 3002,Approve
1611,Precinct 3002,Precinct 3002,Reject
1612,Precinct 3002,Precinct 3002,Approve
1613,Precinct 3002,Precinct 3002,Approve
1614,Precinct 3002,Precinct 3002,Approve
1615,Precinct 3002,Precinct 3002,Reject
1616,Precinct 3002,Precinct 3002,Approve
1617,Precinct 3002,Precinct 3002,Reject
1618,Precinct 3002,Precinct 3002,Approve
1619,Precinct 3002,Precinct 3002,Approve
1620,Precinct 3002,Precinct 3002,Approve
1621,Precinct 3002,Precinct 3002,Reject
1622,Precinct 3002,Precinct 3002,Reject
1623,Precinct 3002,Precinct 3002,Approve
1624,Precinct 3002,Precinct 3002,Approve
1625,Precinct 3002,Precinct 3002,Reject
1626,Precinct 3002,Precinct 3002,Reject
1627,Precinct 3002,Precinct 3002,Approve
1628,Precinct 3002,Precinct 3002,Approve
1629,Precinct 3002,Precinct 3002,Approve
1630,Precinct 3002,Precinct 3002,Approve
1631,Precinct 3002,Precinct 3002,Approve
1632,Precinct 3002,Precinct 3002,Reject
1633,Precinct 3002,Precinct 3002,Approve
1634,Precinct 3002,Precinct 3002,Reject
1635,Precinct 3002,Precinct 3002,Reject
1636,Precinct 3002,Precinct 3002,Reject
1637,Precinct 3002,Precinct 3002,Reject
1638,Precinct 3002,Precinct 3002,Approve
1639,Precinct 3002,Precinct 3002,Reject
1640,Precinct 3002,Precinct 3002,Reject
1641,Precinct 3002,Precinct 3002,Approve
1642,Precinct 3002,Precinct 3002,Approve
1643,Precinct 3002,Precinct 3002,Approve
1644,Precinct 3001,Precinct 3001,Reject
1645,Precinct 3001,Precinct 3001,Reject
1646,Precinct 3001,Precinct 3001,Reject
1647,Precinct 3001,Precinct 3001,Reject
1648,Precinct 3001,Precinct 3001,Reject
1649,Precinct 3001,Precinct 3001,Approve
1650,Precinct 3001,Precinct 3001,Approve
1651,Precinct 3001,Precinct 3001,Approve
1652,Precinct 3001,Precinct 3001,Approve
1653,Precinct 3001,Precinct 3001,Reject
1654,Precinct 3001,Precinct 3001,Approve
1655,Precinct 3001,Precinct 3001,Reject
1656,Precinct 3001,Precinct 3001,Reject
1657,Precinct 3001,Precinct 3001,Approve
1658,Precinct 3001,Precinct 3001,Reject
1659,Precinct 3001,Precinct 3001,Approve
1660,Precinct 3001,Precinct 3001,Approve
1661,Precinct 3001,Precinct 3001,Reject
1662,Precinct 3001,Precinct 3001,Reject
1663,Precinct 3001,Precinct 3001,Reject
1664,Precinct 3001,Precinct 3001,Reject
1665,Precinct 3001,Precinct 3001,Approve
1666,Precinct 3001,Precinct 3001,Approve
1667,Precinct 3001,Precinct 3001,Reject
1668,Precinct 3001,Precinct 3001,Reject
1669,Precinct 3001,Precinct 3001,Approve
1670,Precinct 3001,Precinct 3001,Reject
1671,Precinct 3001,Precinct 3001,Reject
1672,Precinct 3001,Precinct 3001,Reject
1673,Precinct 3001,Precinct 3001,Reject
1674,Precinct 3001,Precinct 3001,Reject
1675,Precinct 3001,Precinct 3001,Reject
1676,Precinct 3001,Precinct 3001,Approve
1677,Precinct 3001,Precinct 3001,Reject
1678,Precinct 3001,Precinct 3001,Approve
1679,Precinct 3001,Precinct 3001,Reject
1680,Precinct 3001,Precinct 3001,Approve
1681,Precinct 3001,Precinct 3001,Approve
1682,Precinct 3001,Precinct 3001,Approve
1683,Precinct 3001,Precinct 3001,Approve
1684,Precinct 3001,Precinct 3001,Approve
1685,Precinct 3001,Precinct 3001,Reject
1686,Precinct 3001,Precinct 3001,Reject
1687,Precinct 3001,Precinct 3001,Approve
1688,Precinct 3001,Precinct 3001,Reject
1689,Precinct 3001,Precinct 3001,Reject
1690,Precinct 3001,Precinct 3001,Reject
1691,Precinct 3001,Precinct 3001,Reject
1692,Precinct 3001,Precinct 3001,Reject
1693,Precinct 3001,Precinct 3001,Approve
1694,Precinct 3001,Precinct 3001,Reject
1695,Precinct 3001,Precinct 3001,Reject
1696,Precinct 3001,Precinct 3001,Approve
1697,Precinct 3001,Precinct 3001,Reject
1698,Precinct 3001,Precinct 3001,Approve
1699,Precinct 3001,Precinct 3001,Reject
1700,Precinct 3001,Precinct 3001,Approve
1701,Precinct 3001,Precinct 3001,Reject
1702,Precinct 3001,Precinct 3001,Approve
1703,Precinct 3001,Precinct 3001,Approve
1704,Precinct 3001,Precinct 3001,Approve
1705,Precinct 3001,Precinct 3001,Approve
1706,Precinct 3001,Precinct 3001,Approve
1707,Precinct 3001,Precinct 3001,Reject
1708,Precinct 3001,Precinct 3001,Reject
1709,Precinct 3001,Precinct 3001,Reject
1710,Precinct 3001,Precinct 3001,Approve
1711,Precinct 3001,Precinct 3001,Approve
1712,Precinct 3001,Precinct 3001,Approve
1713,Precinct 3001,Precinct 3001,Reject
1714,Precinct 3001,Precinct 3001,Reject
1715,Precinct 3001,Precinct 3001,Reject
1716,Precinct 3001,Precinct 3001,Reject
1717,Precinct 3001,Precinct 3001,Approve
1718,Precinct 3001,Precinct 3001,Approve
1719,Precinct 3001,Precinct 3001,Approve
1720,Precinct 3001,Precinct 3001,Reject
1721,Precinct 3001,Precinct 3001,Approve
1722,Precinct 3001,Precinct 3001,Approve
1723,Precinct 3001,Precinct 3001,Reject
1724,Precinct 3001,Precinct 3001,Reject
1725,Precinct 3001,Precinct 3001,Approve
1726,Precinct 3001,Precinct 3001,Approve
1727,Precinct 3001,Precinct 3001,Reject
1728,Precinct 3001,Precinct 3001,Approve
1729,Precinct 3001,Precinct 3001,Reject
1730,Precinct 3001,Precinct 3001,Reject
1731,Precinct 3001,Precinct 3001,Reject
1732,Precinct 3001,Precinct 3001,Approve
1733,Precinct 3001,Precinct 3001,Approve
1734,Precinct 3001,Precinct 3001,Reject
1735,Precinct 3001,Precinct 3001,Reject
1736,Precinct 3001,Precinct 3001,Approve
1737,Precinct 3001,Precinct 3001,Reject
1738,Precinct 3001,Precinct 3001,Reject
1739,Precinct 3001,Precinct 3001,Approve
1740,Precinct 3001,Precinct 3001,Reject
1741,Precinct 3001,Precinct 3001,Reject
1742,Precinct 3001,Precinct 3001,Reject
1743,Precinct 3001,Precinct 3001,Reject
1744,Precinct 3001,Precinct 3001,Approve
1745,Precinct 3001,Precinct 3001,Approve
1746,Precinct 3001,Precinct 3001,Reject
1747,Precinct 3001,Precinct 3001,Reject
1748,Precinct 3001,Precinct 3001,Approve
1749,Precinct 3001,Precinct 3001,Approve
1750,Precinct 3001,Precinct 3001,Approve
1751,Precinct 3001,Precinct 3001,Reject
1752,Precinct 3001,Precinct 3001,Approve
1753,Precinct 3001,Precinct 3001,Reject
1754,Precinct 3001,Precinct 3001,Reject
1755,Precinct 3001,Precinct 3001,Approve
1756,Precinct 3001,Precinct 3001,Approve
1757,Precinct 3001,Precinct 3001,Approve
1758,Precinct 3001,Precinct 3001,Approve
1759,Precinct 3001,Precinct 3001,Approve
1760,Precinct 3001,Precinct 3001,Reject
1761,Precinct 3001,Precinct 3001,Reject
1762,Precinct 3001,Precinct 3001,Reject
1763,Precinct 3001,Precinct 3001,Reject
1764,Precinct 3001,Precinct 3001,Reject
1765,Precinct 3001,Precinct 3001,Reject
1766,Precinct 3001,Precinct 3001,Reject
1767,Precinct 3001,Precinct 3001,Reject
1768,Precinct 3001,Precinct 3001,Approve
1769,Precinct 3001,Precinct 3001,Reject
1770,Precinct 3001,Precinct 3001,Reject
1771,Precinct 3001,Precinct 3001,Approve
1772,Precinct 3001,Precinct 3001,Reject
1773,Precinct 3001,Precinct 3001,Reject
1774,Precinct 3001,Precinct 3001,Reject
1775,Precinct 3001,Precinct 3001,Reject
1776,Precinct 3001,Precinct 3001,Reject
1777,Precinct 3001,Precinct 3001,Approve
1778,Precinct 3001,Precinct 3001,Reject
1779,Precinct 3001,Precinct 3001,Approve
1780,Precinct 3001,Precinct 3001,Approve
1781,Precinct 3001,Precinct 3001,Reject
1782,Precinct 3001,Precinct 3001,Approve
1783,Precinct 3001,Precinct 3001,Approve
1784,Precinct 3001,Precinct 3001,Reject
1785,Precinct 3001,Precinct 3001,Reject
1786,Precinct 3001,Precinct 3001,Reject
1787,Precinct 3001,Precinct 3001,Approve
1788,Precinct 3001,Precinct 3001,Approve
1789,Precinct 3001,Precinct 3001,Approve
1790,Precinct 3001,Precinct 3001,Approve
1791,Precinct 3001,Precinct 3001,Reject
1792,Precinct 3001,Precinct 3001,Reject
1793,Precinct 3001,Precinct 3001,Reject
1794,Precinct 3001,Precinct 3001,Reject
1795,Precinct 3001,Precinct 3001,Approve
1796,Precinct 3001,Precinct 3001,Approve
1797,Precinct 3001,Precinct 3001,Reject
1798,Precinct 3001,Precinct 3001,Reject
1799,Precinct 3001,Precinct 3001,Approve
1800,Precinct 3001,Precinct 3001,Reject
1801,Precinct 3001,Precinct 3001,Reject
1802,Precinct 3001,Precinct 3001,Approve
1803,Precinct 3001,Precinct 3001,Reject
1804,Precinct 3001,Precinct 3001,Approve
1805,Precinct 3001,Precinct 3001,Reject
1806,Precinct 3001,Precinct 3001,Approve
1807,Precinct 3001,Precinct 3001,Reject
1808,Precinct 3001,Precinct 3001,Approve
1809,Precinct 3001,Precinct 3001,Approve
1810,Precinct 3001,Precinct 3001,Reject
1811,Precinct 3001,Precinct 3001,Reject
1812,Precinct 3001,Precinct 3001,Reject
1813,Precinct 3001,Precinct 3001,Approve
1814,Precinct 3001,Precinct 3001,Reject
1815,Precinct 3001,Precinct 3001,Reject
1816,Precinct 3001,Precinct 3001,Approve
1817,Precinct 3001,Precinct 3001,Reject
1818,Precinct 3001,Precinct 3001,Reject
1819,Precinct 3001,Precinct 3001,Approve
1820,Precinct 3001,Precinct 3001,Approve
1821,Precinct 3001,Precinct 3001,Approve
1822,Precinct 3001,Precinct 3001,Reject
1823,Precinct 3001,Precinct 3001,Reject
1824,Precinct 3001,Precinct 3001,Approve
1825,Precinct 3001,Precinct 3001,Reject
1826,Precinct 3001,Precinct 3001,Approve
1827,Precinct 3001,Precinct 3001,Reject
1828,Precinct 3001,Precinct 3001,Reject
1829,Precinct 3001,Precinct 3001,Reject
1830,Precinct 3001,Precinct 3001,Reject
1831,Precinct 3001,Precinct 3001,Approve
1832,Precinct 3001,Precinct 3001,Reject
1833,Precinct 3001,Precinct 3001,Reject
1834,Precinct 3001,Precinct 3001,Approve
1835,Precinct 3001,Precinct 3001,Reject
1836,Precinct 3001,Precinct 3001,Reject
1837,Precinct 3001,Precinct 3001,Reject
1838,Precinct 3001,Precinct 3001,Reject
1839,Precinct 3001,Precinct 3001,Approve
1840,Precinct 3001,Precinct 3001,Reject
1841,Precinct 3001,Precinct 3001,Approve
1842,Precinct 3001,Precinct 3001,Approve
1843,Precinct 3001,Precinct 3001,Reject
1844,Precinct 3001,Precinct 3001,Reject
1845,Precinct 3001,Precinct 3001,Approve
1846,Precinct 3001,Precinct 3001,Reject
1847,Precinct 3001,Precinct 3001,Reject
1848,Precinct 3001,Precinct 3001,Reject
1849,Precinct 3001,Precinct 3001,Approve
1850,Precinct 3001,Precinct 3001,Approve
1851,Precinct 3001,Precinct 3001,Approve
1852,Precinct 3001,Precinct 3001,Reject
1853,Precinct 3001,Precinct 3001,Approve
1854,Precinct 3001,Precinct 3001,Approve
1855,Precinct 3001,Precinct 3001,Reject
1856,Precinct 3001,Precinct 3001,Approve
1857,Precinct 3001,Precinct 3001,Reject
1858,Precinct 3001,Precinct 3001,Approve
1859,Precinct 3001,Precinct 3001,Reject
1860,Precinct 3001,Precinct 3001,Reject
1861,Precinct 3001,Precinct 3001,Reject
1862,Precinct 3001,Precinct 3001,Approve
1863,Precinct 3001,Precinct 3001,Approve
1864,Precinct 3001,Precinct 3001,Reject
1865,Precinct 3001,Precinct 3001,Reject
1866,Precinct 3001,Precinct 3001,Reject
1867,Precinct 3001,Precinct 3001,Reject
1868,Precinct 3001,Precinct 3001,Approve
1869,Precinct 3001,Precinct 3001,Approve
1870,Precinct 3001,Precinct 3001,Reject
1871,Precinct 3001,Precinct 3001,Reject
1872,Precinct 3001,Precinct 3001,Approve
1873,Precinct 3001,Precinct 3001,Reject
1874,Precinct 3001,Precinct 3001,Approve
1875,Precinct 3001,Precinct 3001,Approve
1876,Precinct 3001,Precinct 3001,Reject
1877,Precinct 3001,Precinct 3001,Approve
1878,Precinct 3001,Precinct 3001,Approve
1879,Precinct 3001,Precinct 3001,Reject
1880,Precinct 3001,Precinct 3001,Approve
1881,Precinct 3001,Precinct 3001,Reject
1882,Precinct 3001,Precinct 3001,Reject
1883,Precinct 3001,Precinct 3001,Approve
1884,Precinct 3001,Precinct 3001,Reject
1885,Precinct 3001,Precinct 3001,Reject
1886,Precinct 3001,Precinct 3001,Approve
1887,Precinct 3001,Precinct 3001,Reject
1888,Precinct 3001,Precinct 3001,Approve
1889,Precinct 3001,Precinct 3001,Reject
1890,Precinct 3001,Precinct 3001,Reject
1891,Precinct 3001,Precinct 3001,Reject
1892,Precinct 3001,Precinct 3001,Reject
1893,Precinct 3001,Precinct 3001,Approve
1894,Precinct 3001,Precinct 3001,Approve
1895,Precinct 3001,Precinct 3001,Reject
1896,Precinct 3001,Precinct 3001,Reject
1897,Precinct 3001,Precinct 3001,Reject
1898,Precinct 3001,Precinct 3001,Approve
1899,Precinct 3001,Precinct 3001,Approve
1900,Precinct 3001,Precinct 3001,Approve
1901,Precinct 3001,Precinct 3001,Approve
1902,Precinct 3001,Precinct 3001,Approve
