Cast Vote Record,Precinct,Ballot Style,"AUTHORIZING THE TOWN OF SCITUATE TO ISSUE GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,700,000 TO FINANCE A NEW POLICE STATION"
521,Precinct 3003,Precinct 3003,Approve
522,Precinct 3003,Precinct 3003,Approve
523,Precinct 3003,Precinct 3003,Reject
524,Precinct 3003,Precinct 3003,Approve
525,Precinct 3003,Precinct 3003,Approve
526,Precinct 3003,Precinct 3003,Reject
527,Precinct 3003,Precinct 3003,Reject
528,Precinct 3003,Precinct 3003,Approve
529,Precinct 3003,Precinct 3003,Approve
530,Precinct 3003,Precinct 3003,Approve
531,Precinct 3003,Precinct 3003,Reject
532,Precinct 3003,Precinct 3003,Reject
533,Precinct 3003,Precinct 3003,Approve
534,Precinct 3003,Precinct 3003,Reject
535,Precinct 3003,Precinct 3003,Approve
536,Precinct 3003,Precinct 3003,Reject
537,Precinct 3003,Precinct 3003,Approve
538,Precinct 3003,Precinct 3003,Approve
539,Precinct 3003,Precinct 3003,Approve
540,Precinct 3003,Precinct 3003,Approve
541,Precinct 3003,Precinct 3003,Approve
542,Precinct 3003,Precinct 3003,Approve
543,Precinct 3003,Precinct 3003,Reject
544,Precinct 3003,Precinct 3003,Approve
545,Precinct 3003,Precinct 3003,Approve
546,Precinct 3003,Precinct 3003,Reject
547,Precinct 3003,Precinct 3003,Approve
548,Precinct 3003,Precinct 3003,Reject
549,Precinct 3003,Precinct 3003,Approve
550,Precinct 3003,Precinct 3003,Approve
551,Precinct 3003,Precinct 3003,Approve
552,Precinct 3003,Precinct 3003,Reject
553,Precinct 3003,Precinct 3003,Reject
554,Precinct 3003,Precinct 3003,Reject
555,Precinct 3003,Precinct 3003,Reject
556,Precinct 3003,Precinct 3003,Reject
557,Precinct 3003,Precinct 3003,Reject
558,Precinct 3003,Precinct 3003,Approve
559,Precinct 3003,Precinct 3003,Reject
560,Precinct 3003,Precinct 3003,Approve
561,Precinct 3003,Precinct 3003,Reject
562,Precinct 3003,Precinct 3003,Reject
563,Precinct 3003,Precinct 3003,Reject
564,Precinct 3003,Precinct 3003,Reject
565,Precinct 3003,Precinct 3003,Approve
566,Precinct 3003,Precinct 3003,Approve
567,Precinct 3003,Precinct 3003,Approve
568,Precinct 3003,Precinct 3003,Reject
569,Precinct 3003,Precinct 3003,Approve
570,Precinct 3003,Precinct 3003,Approve
571,Precinct 3003,Precinct 3003,Reject
572,Precinct 3003,Precinct 3003,Reject
573,Precinct 3003,Precinct 3003,Approve
574,Precinct 3003,Precinct 3003,Reject
575,Precinct 3003,Precinct 3003,Approve
576,Precinct 3003,Precinct 3003,Approve
577,Precinct 3003,Precinct 3003,Reject
578,Precinct 3003,Precinct 3003,Approve
579,Precinct 3003,Precinct 3003,Approve
580,Precinct 3003,Precinct 3003,Reject
581,Precinct 3003,Precinct 3003,Reject
582,Precinct 3003,Precinct 3003,Approve
